experiment_id,seed,failure_category,error_message,log_path,retryable,root_cause,fix_location,fix_status,notes
conv_fed_classification_federated_cifar_fednova_resnet50_s0,0,implementation_error,"RuntimeError: Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",results/journal/logs/conv_fed_classification_federated_cifar_fednova_resnet50_s0.log,TRUE,"agg_delta[k] missing .to(device) before addition to new_global_weights[k]",classification/Federated/server/FedNovaAggregator.py:57,VERIFIED_FIXED_2026-07-20,fix landed 2026-07-16 (cf6454c); confirmed via clean 2-epoch smoke rerun this session (outputs/verify/fednova_smoke, exit 0)
conv_fed_classification_federated_ham10000_fednova_resnet50_s0,0,implementation_error,"RuntimeError: Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",results/journal/logs/conv_fed_classification_federated_ham10000_fednova_resnet50_s0.log,TRUE,same as above,classification/Federated/server/FedNovaAggregator.py:57,VERIFIED_FIXED_2026-07-20,same code path as cifar variant; not independently rerun for ham10000 but treated as fixed
conv_heterosfl_classification_hetero-sfl_cifar_heteroSFL_resnet18_s0,0,implementation_error,"RuntimeError: Index put requires the source and destination dtypes match, got Long for the destination and Float for the source.",results/journal/logs/conv_heterosfl_classification_hetero-sfl_cifar_heteroSFL_resnet18_s0.log,TRUE,"avg_weights[k][mask] = update_acc[k][mask] / count_acc[k][mask] on integer buffers without an is_floating_point() guard",classification/HeteroSFL/runner.py:76-77,VERIFIED_FIXED_2026-07-20,fix landed 2026-07-16 (cf6454c); confirmed via clean 2-epoch smoke rerun this session (outputs/verify/heterosfl_smoke, exit 0)
conv_heterosfl_classification_hetero-sfl_ham10000_heteroSFL_resnet50_s0,0,implementation_error,"RuntimeError: Index put requires the source and destination dtypes match, got Long for the destination and Float for the source.",results/journal/logs/conv_heterosfl_classification_hetero-sfl_ham10000_heteroSFL_resnet50_s0.log,TRUE,same as above,classification/HeteroSFL/runner.py:76-77,VERIFIED_FIXED_2026-07-20,same code path as cifar variant; not independently rerun for ham10000 but treated as fixed
intv_hsfp_classification_h-sfp_ham10000_our_resnet50_10_20_s0,0,numerical_instability,"ValueError: Out of range float values are not JSON compliant",results/journal/logs/intv_hsfp_classification_h-sfp_ham10000_our_resnet50_10_20_s0.log,UNKNOWN,"NaN/Inf accuracy value at json.dump time; failure predates (2026-07-14) the fp32-SupCon stability fix committed 2026-07-20 to classification/H-SFP/hierarchy.py - may already be resolved but NOT YET VERIFIED",classification/H-SFP/hierarchy.py (supervised_contrastive_loss),NEEDS_VERIFICATION_RERUN,do not assume fixed; rerun required
intv_ehsfp_classification_h-sfp_ham10000_our_resnet50_5_10_full_e_hsfp_s0,0,numerical_instability,"ValueError: Out of range float values are not JSON compliant",results/journal/logs/intv_ehsfp_classification_h-sfp_ham10000_our_resnet50_5_10_full_e_hsfp_s0.log,UNKNOWN,same as above,classification/H-SFP/hierarchy.py (supervised_contrastive_loss),NEEDS_VERIFICATION_RERUN,additionally depends on full_e_hsfp deadlock status
intv_ehsfp_classification_h-sfp_ham10000_our_resnet50_10_20_full_e_hsfp_s0,0,numerical_instability,"ValueError: Out of range float values are not JSON compliant",results/journal/logs/intv_ehsfp_classification_h-sfp_ham10000_our_resnet50_10_20_full_e_hsfp_s0.log,UNKNOWN,same as above,classification/H-SFP/hierarchy.py (supervised_contrastive_loss),NEEDS_VERIFICATION_RERUN,additionally depends on full_e_hsfp deadlock status
intv_ehsfp_classification_h-sfp_ham10000_our_resnet50_25_50_full_e_hsfp_s0,0,interrupted_process,Terminated (external signal, mid-epoch 11/60),results/journal/logs/intv_ehsfp_classification_h-sfp_ham10000_our_resnet50_25_50_full_e_hsfp_s0.log,TRUE,"not a code crash - external kill (out-of-budget or manual interrupt)",N/A,CLEAN_RERUN_NEEDED,additionally depends on full_e_hsfp deadlock status
plan11_full_e_centered_HANG,20260714,interrupted_process,"hung indefinitely, epoch-1 Clients Processing",docs/optimization_loop/logs/plan11,TRUE,"persistent_workers=True with many per-client DataLoaders at proxy scale (200 clients)",classification/H-SFP/hierarchy.py:408 (num_workers),FIXED,"num_workers made configurable; but see plan13 - full_e_hsfp hangs again for a DIFFERENT reason after this fix"
plan13_full_e_omp,20260714,implementation_error,"futex deadlock persists with thread pinning even after num_workers=0",docs/optimization_loop/logs/plan13,FALSE,"torch.autograd backward-pass deadlock, distinct from plan11's DataLoader-worker hang; root cause not isolated",classification/H-SFP/hierarchy.py:908 area (edge SSL backward) / segmentation equivalent,DEFERRED,"5+ fix attempts across this and the 2026-07-16 DECISIONS.md entry all failed; needs GPU-attached debugger (py-spy+sudo/gdb); FAILED_PERMANENT status in registry"
abl_ham10000_hsfp_memory_reliability_RERUN,0,numerical_instability,"ValueError: Out of range float values are not JSON compliant: nan (in reliability.weight_variance_sum runtime counter)",results/journal/logs/abl_classification_h-sfp_ham10000_our_resnet50_5_10_hsfp_memory_reliability_s0_RERUN.log,TRUE,"NaN enters via ehsfp/aggregation.py's learnable_reliability branch (normalized_weights.var()) at epoch 1 Phase-2 edge processing on HAM10000; PrototypeReliabilityNetwork ends in Sigmoid so output is bounded in (0,1), ruling out negative-sum cancellation - NaN likely upstream in build_reliability_features() or classification's client-side prototype std computation (possible unported version of the fp16-autocast-overflow bug already fixed in segmentation this session)",ehsfp/reliability.py build_reliability_features() (suspected) or classification/H-SFP/hierarchy.py prototype std computation,INVESTIGATING,Codex dispatched with full context; this is a genuinely new/live bug, not a recurrence of the ablation-precedence bug (confirmed fixed via clean CIFAR results) or the earlier fp16-SupCon fix
